SKILL,QUESTION,WEIGHTED SUM,WEIGHTED PERCENTAGE,MAJORITY
REMEMBER,1.0,1.62,0.14285714285714288,L
UNDERSTAND,1.0,2.46,0.21693121693121692,M
APPLY,1.0,2.5,0.22045855379188714,H
ANALYSE,1.0,1.86,0.16402116402116404,H
EVALUATE,1.0,1.3800000000000001,0.1216931216931217,L
CREATE,1.0,1.52,0.13403880070546736,L
REMEMBER,2.0,1.66,0.1479500891265597,M
UNDERSTAND,2.0,2.3600000000000003,0.21033868092691624,M
APPLY,2.0,2.66,0.2370766488413547,H
ANALYSE,2.0,2.04,0.18181818181818182,M/H
EVALUATE,2.0,1.24,0.1105169340463458,M
CREATE,2.0,1.26,0.1122994652406417,N
REMEMBER,3.0,1.58,0.15581854043392507,L
UNDERSTAND,3.0,2.46,0.242603550295858,H
APPLY,3.0,2.0,0.19723865877712035,M
ANALYSE,3.0,1.8800000000000001,0.18540433925049313,M/H
EVALUATE,3.0,1.4400000000000002,0.14201183431952666,M
CREATE,3.0,0.78,0.07692307692307694,N
REMEMBER,4.0,1.46,0.1280701754385965,L
UNDERSTAND,4.0,2.64,0.23157894736842108,H
APPLY,4.0,1.96,0.17192982456140352,M
ANALYSE,4.0,2.6799999999999997,0.23508771929824562,H
EVALUATE,4.0,1.86,0.16315789473684214,M/H
CREATE,4.0,0.8,0.07017543859649124,N
REMEMBER,5.0,1.58,0.132996632996633,L
UNDERSTAND,5.0,2.66,0.22390572390572394,H
APPLY,5.0,1.7600000000000002,0.14814814814814817,M
ANALYSE,5.0,2.78,0.234006734006734,H
EVALUATE,5.0,2.16,0.18181818181818185,H
CREATE,5.0,0.94,0.07912457912457913,N
REMEMBER,6.0,1.5,0.1271186440677966,L/M
UNDERSTAND,6.0,2.7,0.2288135593220339,H
APPLY,6.0,1.7999999999999998,0.15254237288135591,M
ANALYSE,6.0,2.68,0.2271186440677966,H
EVALUATE,6.0,2.4400000000000004,0.20677966101694917,H
CREATE,6.0,0.68,0.0576271186440678,N
REMEMBER,7.0,1.6400000000000001,0.13598673300165837,L
UNDERSTAND,7.0,2.62,0.21724709784411278,H
APPLY,7.0,2.2800000000000002,0.1890547263681592,H
ANALYSE,7.0,2.42,0.20066334991708124,H
EVALUATE,7.0,1.54,0.12769485903814262,M
CREATE,7.0,1.56,0.12935323383084577,M
REMEMBER,8.0,1.6600000000000001,0.13973063973063973,M
UNDERSTAND,8.0,2.62,0.22053872053872053,H
APPLY,8.0,1.98,0.16666666666666666,M
ANALYSE,8.0,2.54,0.2138047138047138,H
EVALUATE,8.0,1.78,0.14983164983164982,M
CREATE,8.0,1.3000000000000003,0.10942760942760944,N
REMEMBER,9.0,1.9,0.15175718849840256,M
UNDERSTAND,9.0,2.6999999999999997,0.21565495207667731,H
APPLY,9.0,2.04,0.16293929712460065,M
ANALYSE,9.0,2.6999999999999997,0.21565495207667731,H
EVALUATE,9.0,2.3600000000000003,0.18849840255591058,H
CREATE,9.0,0.82,0.06549520766773163,N
REMEMBER,10.0,1.72,0.1239193083573487,M
UNDERSTAND,10.0,2.64,0.19020172910662825,H
APPLY,10.0,2.28,0.16426512968299709,H
ANALYSE,10.0,2.52,0.18155619596541786,H
EVALUATE,10.0,2.14,0.15417867435158503,H
CREATE,10.0,2.58,0.18587896253602304,H
REMEMBER,11.0,1.6400000000000001,0.12832550860719874,L
UNDERSTAND,11.0,2.7399999999999998,0.2143974960876369,H
APPLY,11.0,1.8399999999999999,0.1439749608763693,M
ANALYSE,11.0,2.76,0.21596244131455394,H
EVALUATE,11.0,2.6599999999999997,0.20813771517996865,H
CREATE,11.0,1.1400000000000001,0.0892018779342723,N
REMEMBER,12.0,1.98,0.1542056074766355,M
UNDERSTAND,12.0,2.54,0.19781931464174454,H
APPLY,12.0,2.6199999999999997,0.2040498442367601,H
ANALYSE,12.0,2.38,0.1853582554517134,H
EVALUATE,12.0,1.5,0.11682242990654206,M
CREATE,12.0,1.82,0.14174454828660438,H
